CNPJ;Ano;GN;Lead ou Prospecção Pura;Produto;CNPJ;Fantasia;Quantidade de CNPs;FATURAMENTO PRESUMIDO ANUAL;%;Representatividade 12º Mês;Expectativa de Cartões Ativos 12º Mês;Quantidade SOL;Segmento2;Segmento;Taxa a Vista%;Taxa CDC%;Concorrente;Cidade;UF;Data Último Contato;Status Negociação;Status da Oportunidade;URL Enviado?;Data Implantação;Data Abertura GP;Nº GP Mkt;Comentários
08.370.059/0001-12;2025;Rafael;Prospecção Pura;4ª Linha;08.370.059/0001-12;Supermercado Legal;5;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;11/02/2025;Sem Interesse;Frio; ; ; ; ;Cliente não quer negociar no momento
33.128.620/0001-60;2025;Rafael;Prospecção Pura;4ª Linha;33.128.620/0001-60;Supermercado Mardegan;1;R$ 11.609.840,00;7%;R$ 740.707,79; ;0,68;Supermercado;Supermercado; ; ;Tricard;Ribas Do Rio Pardo;MS;09/07/2025;Qualificação;Frio; ; ; ; ;Buscar agenda com o Fabricio - em visita in loco o mesmo não pode me atender
03.275.015/0001-50;2025;Rafael;Prospecção Pura;Personalizado;03.275.015/0001-50;Supermercado Mister Júnior;6;R$ 4.766.046,00;7%;R$ 1.260.000,00;1500;1;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;29/07/2025;Negociação;Morno; ; ; ; ;05/06 reunião de apresentação com a sócia Francisca - Fiz apresentação porém a mesma informou que iria repassar para o sócio Júnior mas no momento não tem interesse de imediato.
09.531.413/0001-77;2025;Rafael;Prospecção Pura;Personalizado;09.531.413/0001-77;Supermercado Nunes;10;R$ 10.737.665,00;7%;R$ 1.260.000,00;1500;1;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;13/01/2025;Negociação;Morno; ; ; ; ;Renovou contrato com a tricard com exclusividade até 2027 - No contrato tem condições diferentes devido á utilização de emprétismo.
12.887.219/0001-33;2025;Rafael;Prospecção Pura;4ª Linha;12.887.219/0001-33;Supermercado Nova Estrela;3;R$ 105.569.886,00;7%;R$ 6.735.358,73; ;6,21;Supermercado;Supermercado; ; ;Tricard;Três Lagoas;MS;01/09/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato via ligação falei com o financeiro para agendar reunião mas ainda sem agenda marcada
01.274.396/0001-28;2025;Rafael;Prospecção Pura;Personalizado;01.274.396/0001-28;Supermercado Princesa;11;R$ 23.487.425,00;7%;R$ 1.680.000,00;2000;1,3;Supermercado;Supermercado; ; ;Sigacred;Aquidauana;MS;01/09/2025;Negociação;Morno; ; ; ; ;Buscando agenda para Reunião com regional Monassiê - em contato com o gerente Corumbá o mesmo informou que neste momento não pode me atender mais pediu para retornar contato em Outubro.
14.946.663/0001-08;2025;Rafael;Prospecção Pura;4ª Linha;14.946.663/0001-08;Supermercado Santa Rita;2;R$ 1.848.867,00;7%;R$ 117.957,71; ;0,11;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;01/09/2025;Qualificação;Morno; ; ; ; ;Buscando agenda - em visita na loja informaram que não estão recebendo no momento devido está preparando a loja nova para inauguração em setembro
40.225.092/0001-22;2025;Rafael;Prospecção Pura;4ª Linha;40.225.092/0001-22;Supermercado São José;1;R$ -    ;7%;R$ 0,00;300;0;Supermercado;Supermercado;1,80%;2,00%;Tricard;Jardim;MS;08/09/2025;Negociação;Quente; ; ; ; ;Aguardando agendamento para reunião de retorno - contato por ligação o José informou que ainda não decidiu mas vamos voltar a falar até o final de Setembro
09.544.424/0001-91;2025;Rafael;Prospecção Pura;4ª Linha;09.544.424/0001-91;Supermercadi Nutri Shopping;2;R$ 7.477.550,00;7%;R$ 477.067,69;500;0,44;Supermercado;Supermercado;1,49%;1,69%;Tricard;Campo Grande;MS;14/07/2025;Negociação;Morno; ; ; ; ;Proposta enviada no dia 14/02 cliente não deu data de devolutiva pois ainda vão analisar - em contato com assessor Kaiser o mesmo falou que tem interesse mas não querem dar andamento no momento pois tem outras prioridades
05.348.350/0001-67;2025;Rafael;Prospecção Pura;4ª Linha;05.348.350/0001-67;Supermercado Atlântico;2;R$ 20.812.506,00;7%;R$ 1.327.837,88; ;1,22;Supermercado;Supermercado; ; ;Tricard;Aquidauana;MS;03/04/2025;Sem Interesse;Frio; ; ; ; ;Em reunião de apresentação com o Roger o mesmo informou que estão em fase de teste com o cartão próprio do supemercado. 
06.813.685/0001-71;2025;Rafael;Prospecção Pura;Personalizado;06.813.685/0001-71;Supermercado Chama;7;R$ 19.007.043,00;7%;R$ 1.680.000,00;2000;1,3;Supermercado;Supermercado; ; ;Tricard;Naviraí;MS;01/09/2025;Qualificação;Morno; ; ; ; ;Em contato com o Fábio diretor vamos marcar uma reunião agora em Outubro para apresentação.
04.738.857/0001-64;2025;Rafael;Prospecção Pura;Personalizado;04.738.857/0001-64;Supermercado Duarte;4;R$ 9.457.903,00;7%;R$ 1.260.000,00;1500;1;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;19/09/2025;Negociação;Morno; ; ; ; ;Em reunião com a diretoria me informomaram que neste momento não vamos dar andamento com a negociação.
05.558.376/0001-30;2025;Rafael;Prospecção Pura;4ª Linha;05.558.376/0001-30;Supermercado Jr;1;R$ 309.635,00;7%;R$ 19.754,71; ;0,02;Supermercado;Supermercado; ; ;Tricard;Aquidauana;MS;03/04/2025;Sem Interesse;Frio; ; ; ; ;Sem interesse do lojista
53.528.783/0001-47;2025;Rafael;Prospecção Pura;4ª Linha;53.528.783/0001-47;Supermercado Madaleno;1;R$ 82.000,00;7%;R$ 5.231,60; ;0;Supermercado;Supermercado;2,50%;2,80%;Sem operadora;Dourados;MS;05/05/2025;Implantado; ;Sim;Maio;08/abr;629675;Contrato lançado dia 21/05
29.891.809/0001-32;2025;Rafael;Prospecção Pura;4ª Linha;29.891.809/0001-32;Supermercado Naviraí;3;R$ 5.856.187,00;7%;R$ 373.624,73; ;0,34;Supermercado;Supermercado; ; ;Tricard;Naviraí;MS;04/08/2025;Qualificação;Frio; ; ; ; ;Sem contato com o lojista por ligação
11.580.120/0001-21;2025;Rafael;Prospecção Pura;4ª Linha;11.580.120/0001-21;Supermercado Nutrimais;1;R$ 13.251.259,00;7%;R$ 845.430,32; ;0,78;Supermercado;Supermercado; ; ;Tricard;Sidrolândia;MS;23/04/2025;Qualificação;Frio; ; ; ; ;Cliente não quer ouvir outra proposta no momento pois tem excluisvidade com a tricard até 2026
12.075.667/0001-32;2025;Rafael;Prospecção Pura;Personalizado;12.075.667/0001-32;Supermercado Pires;25;R$ 46.747.515,00;7%;R$ 2.520.000,00;3000;2;Supermercado;Supermercado; ; ;Dm card;Campo Grande;MS;06/06/2025;Qualificação;Morno; ; ; ; ;Em contato com o Francisco sócio me informou que tem exclusividade com DM card até março/2027
19.372.777/0001-05;2025;Rafael;Prospecção Pura;4ª Linha;19.372.777/0001-05;Supermercado Produtor;1;R$ 346.777,00;7%;R$ 22.124,37; ;0,02;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;29/07/2025;Qualificação;Morno; ; ; ; ;Sem contato com o sócio Omega em vista em loja
00.477.705/0006-03;2025;Rafael;Prospecção Pura;4ª Linha;00.477.705/0006-03;Supermercado Santa Clara;3;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;01/09/2025;Qualificação;Morno; ; ; ; ;Sem contato com o lojista por ligação
24.109.960/0001-52;2025;Rafael;Prospecção Pura;4ª Linha;24.109.960/0001-52;Supermercado São João;4;R$ 4.673.760,00;7%;R$ 298.185,89; ;0,27;Supermercado;Supermercado; ; ;Tricard;Campo Grande;MS;01/09/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato via ligação falei com o financeiro para agendar reunião para setembro mas ainda sem retorno
29.734.039/0001-14;2025;Rafael;Prospecção Pura;4ª Linha;29.734.039/0001-14;Titana Calçados;2;R$ -    ;7%;R$ 0,00; ;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Crediário;Dourados;MS;06/08/2025;Qualificação;Frio; ; ; ; ;Sem interesse do lojista no momento
37.568.727/0001-80;2025;Maurício;Lead;4ª Linha;37.568.727/0001-80;Junior Confecções;3;R$ 791.000,00;7%;R$ 50.465,80;60;0,05;Confecções;Confecções;3,50%;4,00%;Crediário;Pontes E Lacerda;MT;02/05/2025;Negado Cooper; ; ; ; ; ;NEGADO pelo compliance, empresa com dívidas.
35.264.922/0001-90;2025;Maurício;Lead;4ª Linha;35.264.922/0001-90;Mahogany Umuarama;1;R$ 420.000,00;7%;R$ 26.796,00;32;0,02;Outros;Perfumaria;3,50%;4,00%;Crediário;Umuarama;PR;08/05/2025;Sem Interesse; ; ; ; ; ;Contrato está para assinatura lojista - Em contato com Veronica (proprietaria), ela informou que a franquiadora fechou uma parceria com uma empresa que vai cuidar da parte do crediário e que elas estão bloqueadas de fechar novos negócios.
01.767.743/0001-54;2025;Murilo;Lead;4ª Linha;01.767.743/0001-54;J. Martins;3;R$ 4.000.000,00;7%;R$ 255.200,00;304;0,24;Outros;Material de Construção;3,80%;4,50%;Sem operadora;Cascavel;PR;Finalizado;Implantado;Implantado; ;15/jul;01/jul;639722;Contrato em elaboração/Contrato assinado em abril/25. Feita em 25/06/25 Treinamento para Gerente Tayna. Em 30/06/2025 feito treinamento para a segunda loja com crediaristas. Alinhado com Proprietário e Gerente o lançamento oficial para dia 02/07. Prorrogado o lançamento para após recebimento dos materiais do mkt (digitais)
82.171.018/0001-10;2025;Murilo;Lead;4ª Linha;82.171.018/0001-10;Zat Supermercados;5;R$ 36.888.079,00;7%;R$ 2.353.459,44;2802;2,17;Supermercado;Supermercado;1,50%;2,00%;Senff;Concórdia;SC;09/07/2025;Sem Interesse;Frio; ; ; ;630853;Conversado com Cliente. Cliente vai agendar data para visita presencial. Feita visita Presencial. Solicitado Proposta Personalizada para o Mkt em 16/04/2025. Após recebimento da Apresentação de Proposta Personalizada, será agendada nova visita para 2ª apresentação ao Lojista. Feita nova Visita Presencial, com Sócios (diretor financeiro, diretor comercial e diretor de operações), e apesar de terem gostado muito do projeto e do formato, não aceitaram a condição de emissão mínima de 2500 cartões nos 12 primeiros meses, em decorrência da multa. Também pontuaram que têm outras prioridades no momento, algumas mudanças nas políticas internas da rede, mudança de sistema. Receberam uma proposta da DM, onde recebem R$ 50K no primeiro ano, para investimento em mídia, tráfego pago, etc. Pediram para aguardar 3 meses e entrar em contato novamente para nova análise e proposta.
81.039.075/0003-40;2025;Murilo;Lead;4ª Linha;81.039.075/0003-40;Vale Da Moda;10;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;10/04/2025;Qualificação;Frio; ; ; ; ;Aguardando confirmação de agendamento. Grupo proprietário de lojas de confecções. Ainda não disponibilizaram data de agendamento para apresentação.
36.545.452/0002-87;2025;Murilo;Lead;4ª Linha;36.545.452/0002-87;Ki Barato;12;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;12/03/2025;Prospecção;Frio; ; ; ; ;Entrado em contato com o cliente, mas ele ainda não quis agendar visita. Falado com Paula, supervisora da Loja de Cascavel em 12/03/2025
47.061.660/0001-46;2025;Murilo;Lead;4ª Linha;47.061.660/0001-46;Manaiin Calçados;2;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;03/03/2025;Qualificação;Frio; ; ; ; ;Entrado em contato com o cliente, mas ele ainda não quis agendar visita
28.624.541/0001-00;2025;Murilo;Lead;Personalizado;28.624.541/0001-00;Top Jeans;7;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora;Iporã;PR;24/04/2025;Qualificação;Frio; ; ; ; ;Feita primeira visita ao cliente. Agendar nova visita com Gerência. Aguardando confirmação da data com cliente. Feita 2ª visita ao cliente no dia 24/04, foi falado novamente sobre o produto, mas o gerente comercial não estava. Será feita nova visita para apresentação. Cliente não deixou data agendada definida. É pra entrar em contato por telefone mais próximo da data de visitar, e se as agendas estiverem disponíveis, fazer a apresentação. Cliente não está atendendo as ligações.
48.326.742/0001-38;2025;Murilo;Lead;4ª Linha;48.326.742/0001-38;Magrey Cosméticos;4;R$ -    ;7%;R$ 0,00;0;0;Outros;Cosméticos; ; ;Sem operadora; ;PR;22/04/2025;Negociação;Morno; ; ; ; ;Nova visita para falar com Gerente das Lojas. Falado com gerente Maicon, em 22/04 ele se interessou, mas pediu pra agendarmos com os proprietários, e apresentar pra eles. Vai confirmar data de agendamento.
01.728.624/0001-92;2025;Murilo;Lead;4ª Linha;01.728.624/0001-92;Maxxi Calçados;2;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora; ;PR; ;Qualificação;Frio; ; ; ; ; 
28.367.388/0001-82;2025;Murilo;Lead;4ª Linha;28.367.388/0001-82;Mega Barato;1;R$ -    ;7%;R$ 0,00;0;0;Outros;Utilidades; ; ;Sem operadora; ;PR; ;Prospecção;Frio; ; ; ; ; 
08.836.289/0001-95;2025;Murilo;Lead;4ª Linha;08.836.289/0001-95;Mil Coisas;1;R$ -    ;7%;R$ 0,00;0;0;Outros;Utilidades; ; ;Sem operadora; ;PR;14/04/2025;Prospecção;Frio; ; ; ; ; 
77.852.366/0001-13;2025;Murilo;Lead;4ª Linha;77.852.366/0001-13;Bandeirantes;2;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;07/02/2025;Prospecção;Frio; ; ; ; ; 
53.325.190/0001-83;2025;Maurício;Lead;Personalizado;53.325.190/0001-83;Camilo Supermercados;8;R$ 83.854,00;7%;R$ 5.349,89;6;0;Supermercado;Supermercado; ; ;Tricard;Araguapaz;PR;14/04/2025;Sem Interesse; ; ; ; ; ;Tenho o contato do Sergio, financeiro. Após muitas tentativas, consegui falar com ele, pelo whatsapp apenas, ele não me deu abertura, disse que já possui cartão próprio e que no momento não teria interesse, não quis nem ouvir minha proposta ou agendar uma conversa.
83.569.624/0001-51;2025;Murilo;Lead;Personalizado;83.569.624/0001-51;Pittol Calçados;27;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ; ;Concórdia;SC;07/02/2025;Sem Interesse;Frio; ; ; ; ;Cliente tem cartão próprio, administrado pela própria empresa. Não tem interesse devido a haver taxa pois como o cartão deles é admnistração própria não tem taxa
06.001.993/0001-00;2025;Murilo;Lead;4ª Linha;06.001.993/0001-00;Calcebel;8;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Bonus Cred; ;PR;24/03/2025;Negociação;Morno; ; ; ; ;Cliente fez leilão com nossa proposta junto ao bônus cred. cliente repassou que a bônus cred vai alterar as condições que existem lá hoje, e não quer inserir o projeto cooper bank nas lojas
77.808.400/0001-52;2025;Murilo;Lead;4ª Linha;77.808.400/0001-52;Tic Tac;1;R$ -    ;7%;R$ 0,00;0;0;Outros;Multiplos Produtos; ; ;Nenhum; ;PR;21/03/2025;Qualificação;Frio; ; ; ; ;Cliente deu retorno,não quer emitir cartões, quer parceria com financeira para emprétimos aos clientes com valores acima de 10.000,00
12.820.834/0001-22;2025;Rodrigo;Prospecção Pura;4ª Linha;12.820.834/0001-22;Supermercado Litoral ;5;R$ 338.376,00;7%;R$ 21.588,39;26;0,02;Supermercado;Supermercado; ; ; ; ;PR;16/09/2025;Negociação;Frio; ; ; ; ;Reunião de follow up agendada para o dia 09/05/2025.
75.218.370/0001-07;2025;Anne;Prospecção Pura;4ª Linha;75.218.370/0001-07;Supermercado Supersul;3;R$ 23.362.724,00;7%;R$ 1.490.541,79;0;1,37;Supermercado;Supermercado;2,30%;3,30%; ;Ibipora;PR;24/03/2025;Implantado;Implantado; ; ; ; ;Implantado 27/02/2025
79.113.841/0001-65;2025;Maurício;Lead;4ª Linha;79.113.841/0001-65;Genko Calçados;3;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Sem operadora; ;PR;04/04/2025;Negociação; ; ; ; ; ;Falei com Igor Shimabukuro - o mesmo relatou que nunca tiveram interesse em uma cartão próprio, mas se a taxa for atrativa, poderia pensar. Hoje trabalham com Getnet- Débito:  0,79 / Crédito: 1,29 / Até 6x: 1,59 / até 8x: 2,25 - Felipe está negociando agora com uma outra pessoa.
81.552.911/0001-23;2025;Murilo;Lead;4ª Linha;81.552.911/0001-23;Pittol Calçados (Rede Francisco Beltrão);7;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Nenhum; ;PR;24/03/2025;Negociação;Morno; ; ; ; ;Conversado com Cliente. Cliente vai agendar data para visita presencial
77.740.108/0001-45;2025;Murilo;Lead;4ª Linha;77.740.108/0001-45;Pittol Calçados (Rede Pato Branco);1;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ;Nenhum; ;PR;24/03/2025;Negociação;Morno; ; ; ; ;Conversado com Cliente. Cliente vai agendar data para visita presencial
72.954.308/0001-87;2025;Maurício;Lead;Personalizado;72.954.308/0001-87;Supermercado Porecatu;10;R$ 459.616.616,00;7%;R$ 29.323.540,10;4000;27,04;Supermercado;Supermercado; ; ;DM Card;Votuporanga;PR;20/08/2025;Qualificação;Frio; ; ; ; ;"Matriz em Votuporanga, mas não consegui falar com decisor, encaminhei e-mail para puxar uma agenda. Cristina 17 3426-6800 - email: cristina_porecatu@hotmail.com / ""financeiro.conciliacao@superporicatu.com.br"" financeiro.conciliacao@superporicatu.com.br - Ainda sem retorno e sem conseguir contato com Cristina."
04.896.220/0001-04;2025;Maurício;Lead;4ª Linha;04.896.220/0001-04;Auto Escola Milênio;1;R$ -    ;7%;R$ 0,00;0;0;Outros;Serviços; ; ;Senff; ;PR;25/04/2025;Negado Cooper; ; ; ; ; ;Negado pela Cooper, não atendemos esse seguimento.
76.361.807/0001-11;2025;Maurício;Lead;Personalizado;76.361.807/0001-11;Mercado Planalto ;5;R$ -    ;7%;R$ 0,00;3000;0;Supermercado;Supermercado; ; ;Cartão Próprio;Umuarama;PR;20/08/2025;Qualificação;Frio; ; ; ; ;Tentei contato com a responsável (Cristiane), mas sem sucesso, pediram para enviar uma proposta por e-mail (financeiro@mercadoplanalto.com.br) - e-mail enviado dia 24/04 - 44 3621-3100 - sem retorno.
00.000.000/0000-00;2025;Maurício;Lead;4ª Linha;00.000.000/0000-00;Q Barato;1;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Bônus Cred; ;PR;20/08/2025;Negociação; ; ; ; ; ;Vou fazer uma agenda na região primeira semana de outubro. Sem sucesso via telefone.
00.647.721/0001-98;2025;Maurício;Lead;4ª Linha;00.647.721/0001-98;Supermercado Lucas (Rede Sol);1;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Tricard; ;SP;18/08/2025;Qualificação; ; ; ; ; ;Vou fazer uma agenda na região primeira semana de outubro. Sem sucesso via telefone. Um dos maiores mercados da cidade, fazem parte da Rede Sol de Supermercados, hoje Paula é responsável pela financeiro, estou tentando agenda com ela. Paula (17 9 9664-4525)
53.963.443/0001-44;2025;Maurício;Lead;Personalizado;53.963.443/0001-44;Supermercado Proença;23;R$ -    ;7%;R$ 0,00;4000;0;Supermercado;Supermercado; ; ;Cartão Próprio;Pereira Barreto;SP;18/08/2025;Qualificação;Frio; ; ; ; ;Vou fazer uma agenda na região primeira semana de outubro. Sem sucesso via telefone.
28.519.338/0001-73;2025;Maurício;Lead;4ª Linha;28.519.338/0001-73;Supermercado São Cristóvão ;5;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Senff; ;SP;18/08/2025;Qualificação; ; ; ; ; ;Rede de supermercado situado em Penápolis, perfil bem popular. Contato: Eduardo - 18 9 8138-5640 - 18 3653-5444
54.516.133/0004-97;2025;Maurício;Lead;Personalizado;54.516.133/0004-97;Uilian Supermercado;8;R$ -    ;7%;R$ 0,00;2000;0;Supermercado;Supermercado; ; ;DM Card;Presidente Bernardes;SP;18/08/2025;Qualificação;Frio; ; ; ; ;Já foi cliente Cooper na época do Dalton, mas por algum motivo entraram em atrito, hoje estão com a DM Card. Daniele é a responsável pela parte do cartão. Não quis me receber e nem fazer uma reunião via vídeo, falou rapidamente pelo telefone e pediu para enviar uma proposta por e-mail. Única informação que consegui tirar dela é que eles recebem repasses diários das vendas realizadas pelo cartão e um comissionamento mensal pela emissão de cartões. E-mail: telefonista.loja1@grupoulian.com.br 
03.016.281/0001-69;2025;Maurício;Lead;Personalizado;03.016.281/0001-69;Andaraki Calcados; ;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ; ;Pinhais;PR; ;Sem Interesse; ; ; ; ; ;Estão comDM Card e não deu abertura para negociação.
01.824.183/0001-22;2025;Maurício;Lead;4ª Linha;01.824.183/0001-22;Superponta;1;R$ 14.084.505,00;7%;R$ 898.591,42;1070;0,83;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
07.851.511/0001-00;2025;Maurício;Lead;4ª Linha;07.851.511/0001-00;Ponto Verde Supermercados Ltda;1;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
17.757.185/0001-86;2025;Maurício;Lead;4ª Linha;17.757.185/0001-86;Lojas Veste 10 +; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR;29/04/2025;Prospecção; ; ; ; ; ; 
06.142.033/0001-52;2025;Maurício;Lead;4ª Linha;06.142.033/0001-52;Supermercado Super Spin;1;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR;14/05/2025;Prospecção; ; ; ; ; ; 
55.678.740/0001-31;2025;Murilo;Lead;4ª Linha;55.678.740/0001-31;Lojas Kelly;3;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ;Sem operadora; ;PR;29/04/2025;Negociação;Morno; ; ; ; ;Feita segunda visita. Responsável pela loja de Cascavel vai agendar visita com Responsáveis pelas lojas de Toledo para 2ª Apresentação. 3ª Visita no dia 29/04 para tirar algumas dúvidas do Lojista. Feita visita no dia 29/04, conversado com Helio. Devido eles estarem fazendo algumas alterações no sistema das lojas, pediu pra entrar em contato com a Gislaine do financeiro pra ver se é possível encaixar a implantação do projeto junto com as mudanças que estão ocorrendo. 
10.704.006/0001-01;2025;Rodrigo;Prospecção Pura;Personalizado;10.704.006/0001-01;Instituto Dos Óculos;65;;7%;R$ 0,00;0;0;Outros;Ótica;2,50%;2,50%; ;Curitiba;PR;22/09/2025;Negociação;Morno; ; ; ; ;O responsável pela negociação e implantação do projeto na rede ficou afastado e está retornando aos trabalhos agora, e retomamos as conversas no dia 25/09/2025, estou aguardando uma data na próxima semana para darmos sequência na negociação. 
42.653.090/0001-64;2025;Rafael;Lead;4ª Linha;42.653.090/0001-64;Supermercado Valle;1;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ; ;Chapadão Do Sul;MS;01/09/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato via ligação falei com o financeiro para agendar reunião em Setembro
08.679.814/0001-06;2025;Rafael;Lead;4ª Linha;08.679.814/0001-06;Supermercado Lider;4;R$ 15.375.217,00;7%;R$ 980.938,84; ;0,9;Supermercado;Supermercado; ; ;Tricard;Dourados;MS;02/09/2025;Qualificação;Frio; ; ; ; ;Em visita em in loco apresentei para o financeiro mas ainda sem retorno com data de reunião com a diretoria
02.349.229/0001-61;2025;Rafael;Lead;4ª Linha;02.349.229/0001-61;Supermercado Dois Irmãos;1;R$ 9.495.474,00;7%;R$ 605.811,24; ;0,56;Supermercado;Supermercado; ; ; ;Dourados;MS;01/09/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato via ligação falei com o financeiro para agendar reunião em Setembro
03.860.894/0001-88;2025;Rafael;Lead;4ª Linha;03.860.894/0001-88;Lojas Floraí;4;R$ -    ;7%;R$ 0,00; ;0;Supermercado;Supermercado; ; ; ;Dourados;MS;08/09/2025;Qualificação;Frio; ; ; ; ;Buscando agenda - em contato por ligação mas sem retorno
59.718.132/0001-04;2025;Murilo;Lead;4ª Linha;59.718.132/0001-04;Mbj Móveis;1;R$ 82.000,00;7%;R$ 5.231,60;6;0;Outros;Móveis;4,00%;5,00%;Nenhum;Abelardo Luz;SC;Finalizado;Implantado;Implantado; ;15/jul;04/jul;640213;Aberto card CRM para elaboração de contrato / Contratos assinados
83.648.477/0001-05;2025;Rodrigo;Prospecção Pura;Personalizado;83.648.477/0001-05;Supermercado Giassi;17;R$ 209.519.287,00;7%;R$ 13.367.330,51;15913;12,32;Supermercado;Supermercado; ; ;Tricard;Tubarao;PR;14/04/2024;Sem Interesse;; ; ; ; ;O Felipe já está negociando
02.831.172/0001-32;2025;Rodrigo;Prospecção Pura;Personalizado;02.831.172/0001-32;Supermercados Koch;81;R$ 146.303.890,00;7%;R$ 9.334.188,18;11112;8,61;Supermercado;Supermercado; ; ;DM Card;Tijucas;SC;14/04/2025;Sem Interesse; ; ; ; ; ;O Felipe já está negociando
66.091.737/0001-75;2025;Rodrigo;Prospecção Pura;Personalizado;66.091.737/0001-75;Daju CNPJ Matriz;10;R$ 91.407.424,00;7%;R$ 5.831.793,65;6943;5,38;Confecções;Confecções; ; ;Dm card;Curitiba;PR;29/09/2025;Negociação;Quente; ; ; ; ;Fizemos novamente, agora junto com o Silvio, uma apresentação para a Ketlyn, a Michely, que era a responsável financeira não trabalha mais na Daju, a Ketlyn chegou a participar da primeira reunião, mas precisou sair logo no incío, ela gostou muito da proposta e está se mostrando muito receptiva. 
80.215.551/0001-01;2025;Murilo;Lead;4ª Linha;80.215.551/0001-01;Destro Macro Exportacao De Alimentos Ltda; ;R$ 68.660.775,00;7%;R$ 4.380.557,45;5215;4,04;Supermercado;Supermercado; ; ; ;Foz Do Iguacu;PR;23/04/2025;Prospecção;Frio; ; ; ; ; 
77.716.249/0001-22;2025;Murilo;Lead;4ª Linha;77.716.249/0001-22;N Tonial E Cia Ltda - Supermercado União; ;R$ 62.784.231,00;7%;R$ 4.005.633,94;4769;3,69;Supermercado;Supermercado; ; ; ;Palmas;PR; ;Prospecção;Frio; ; ; ; ; 
02.222.659/0001-18;2025;Murilo;Lead;4ª Linha;02.222.659/0001-18;Supermercados Lunitti Ltda; ;R$ 52.285.264,00;7%;R$ 3.335.799,84;3971;3,08;Supermercado;Supermercado; ; ; ;Toledo;PR;23/04/2025;Sem Interesse;Frio; ; ; ; ;A Rede Lunitti Fechou. Algumas lojas foram compradas pelo Allmayer e outras pelo Primato.
77.307.973/0001-00;2025;Murilo;Lead;4ª Linha;77.307.973/0001-00;Comercial De Secos E Molhados Consalter Ltda; ;R$ 49.672.249,00;7%;R$ 3.169.089,49;3773;2,92;Supermercado;Supermercado; ; ; ;Foz Do Iguacu;PR; ;Prospecção;Frio; ; ; ; ; 
79.846.275/0001-09;2025;Murilo;Lead;4ª Linha;79.846.275/0001-09;Slonski & Cia Ltda; ;R$ 47.741.843,00;7%;R$ 3.045.929,58;3626;2,81;Supermercado;Supermercado; ; ; ;Pato Branco;PR; ;Prospecção;Frio; ; ; ; ; 
76.387.901/0001-40;2025;Murilo;Lead;4ª Linha;76.387.901/0001-40;Mercearia Maronesi Ltda; ;R$ 44.847.975,00;7%;R$ 2.861.300,81;3406;2,64;Supermercado;Supermercado; ; ; ;Medianeira;PR;29/04/2025;Prospecção;Frio; ; ; ; ; 
